animalBirthday,animalDescription,animalJpName,animalName,animalPicture,animalSex,animalSpecies,animalZooID
4/12/2000,巻き付けることのできる尾と花の蜜や蜂蜜をに伸ばすことのできる長い舌を持っている。,キンカジュー,ロキニ,http://www.kobe-ojizoo.jp//data/animal/20130316194003.jpeg,male,Potos flavus ,29
10/5/2008,臀部に円錐状の蹴爪(ケヅメ)の突起があることが名前の由来で、ゾウガメの次に大きいリクガメである。,ケヅメリクガメ,リテラ,http://www.kobe-ojizoo.jp//data/animal/20140131203148.jpeg,female,Geochelone sulcata ,29
16/4/2013,全長約100～150cm。,グリーンイグアナ,ララチ,http://www.kobe-ojizoo.jp//data/animal/20140410130244.jpeg,female,Iguana iguana ,26
18/12/2014,湖沼・河川・水田・干潟等に生息し、魚・両生類・甲殻類・昆虫類などを食べる。,アオサギ,チツニ,http://www.kobe-ojizoo.jp//data/animal/20140125173912.jpeg,male,Ardea cinerea ,22
25/3/2006,主食は木の葉や若芽。,キリン,モカト,http://www.kobe-ojizoo.jp//data/animal/20170201112004.jpeg,female,Giraffa camelopardalis ,27
13/9/2001,頭部に黄色の扇状の羽冠があり、頬の上部分は白で、下部分はピンク。ツルの仲間では珍しく、木の枝に止まることができる。,カンムリヅル,アネル,http://www.kobe-ojizoo.jp//data/animal/20130316193813.jpeg,female,Balearica pavonina ,28
13/12/2006,現存するげっ歯目の中では最大のもので、水の中や水辺に生えるイネ科の草を食べる。,カピバラ,メワテ,http://www.kobe-ojizoo.jp//data/animal/20130316193532.jpeg,female,Hydrochaerus hydrochaeris ,26
14/1/2005,主食は果実や昆虫。,カンムリシロムク,ケリレ,http://www.kobe-ojizoo.jp//data/animal/20140327190620.jpeg,female,Leucopsar rothschildi ,28
17/7/2005,一夫多妻で繁殖期は5～8月、1産1子。オスが成長すると体調約220cm、体重は約300kgになる。野生での主食は魚やタコ、イカなど。,カリフォルニアアシカ,モロレ,http://www.kobe-ojizoo.jp//data/animal/20140401214607.jpeg,female,Zolophus californianus ,27
18/10/1995,原種はハイイロガンやサカツラガンである。,ガチョウ,イサ,http://www.kobe-ojizoo.jp//data/animal/20130316193322.jpeg,female,Anser cygnoides domestica ,28
22/5/2010,種子・果実・木の実などを食べる。抱卵期間は24～26日。,ルリコンゴウインコ,ナナツ,http://www.kobe-ojizoo.jp//data/animal/20140328172439.jpeg,female,Ara ararauna ,23
1/5/2002,群れ(プライド)で生活し、メスが共同で狩りをすることが多い。,ライオン,ミンヲ,http://www.kobe-ojizoo.jp//data/animal/20130316212325.jpeg,female,Panthera leo ,11
9/12/2006,約5000年前にアフリカノロバを家畜化したものと考えられており、世界中で運搬や農耕に用いられてきた。ウマ科の中では最も小さい。体格は品種によって様々で、体高75cmの小型のものから150cmの大型のものまである。妊娠期間は約12か月で産仔数は1頭,ロバ,ツネツ,http://www.kobe-ojizoo.jp//data/animal/20180613141427.jpeg,female,Equus asinus ,7
13/3/1991,5～25頭の群れで生息し、主に樹上で果実・花・葉などを食べる。,ワオキツネザル,テイサ,http://www.kobe-ojizoo.jp//data/animal/20130316212616.jpeg,female,哺乳類 霊長目 キツネザル科 ,24
18/4/2010,"原種はグアナコであるとされているが詳細は不明。約7,000年前にボリビアとペルーの国境あたりで家畜化されたらしい。",ラマ,ナトラ,http://www.kobe-ojizoo.jp//data/animal/20140125155256.jpeg,male,Lama glama  ,26
13/11/2008,温帯域に現生する唯一のワニ。,ヨウスコウワニ,ルトサ,http://www.kobe-ojizoo.jp//data/animal/20140131203406.jpeg,female,Alligator sinensis ,26
5/4/2018,体色は白く桃色に染まる。くちばしで小さな水生植物・水生動物をこして食べる。,ヨーロッパフラミンゴ,ミテエ,http://www.kobe-ojizoo.jp//data/animal/20140301163530.jpeg,male,Phoenicopterus ruber roseus ,2
30/5/2013,真猿類の中で唯一の夜行性で、特徴のある大きな目は暗闇の中での活動に役立つ。,ヨザル,マオオ,http://www.kobe-ojizoo.jp//data/animal/20130316212226.jpeg,male,Aotus trivirgatus ,6
